datetime,date,hour,temp_c,humidity_pct,wind_kph,visibility_km,precip_mm,condition
2025-01-01 00:00:00,2025-01-01,0,12.9,52,16.4,10.0,0.0,Clear
2025-01-01 01:00:00,2025-01-01,1,11.9,54,23.1,10.0,0.0,Clear
2025-01-01 02:00:00,2025-01-01,2,11.5,68,4.5,10.0,0.0,Clear
2025-01-01 03:00:00,2025-01-01,3,9.2,69,5.1,1.0,0.0,Fog
2025-01-01 04:00:00,2025-01-01,4,12.1,67,17.1,1.2,0.0,Fog
2025-01-01 05:00:00,2025-01-01,5,11.1,79,3.6,0.2,0.0,Fog
2025-01-01 06:00:00,2025-01-01,6,14.5,79,9.6,0.5,0.0,Fog
2025-01-01 07:00:00,2025-01-01,7,15.6,85,3.0,1.0,0.0,Fog
2025-01-01 08:00:00,2025-01-01,8,16.2,86,23.3,0.7,0.0,Fog
2025-01-01 09:00:00,2025-01-01,9,19.6,77,16.3,10.0,0.0,Sunny
2025-01-01 10:00:00,2025-01-01,10,20.9,85,7.8,10.0,0.0,Sunny
2025-01-01 11:00:00,2025-01-01,11,23.8,80,7.7,10.0,0.0,Sunny
2025-01-01 12:00:00,2025-01-01,12,25.8,85,16.0,10.0,0.0,Sunny
2025-01-01 13:00:00,2025-01-01,13,24.8,70,16.5,10.0,0.0,Sunny
2025-01-01 14:00:00,2025-01-01,14,25.8,72,4.2,10.0,0.0,Sunny
2025-01-01 15:00:00,2025-01-01,15,26.2,60,6.7,10.0,0.0,Partly Cloudy
2025-01-01 16:00:00,2025-01-01,16,27.6,69,2.0,10.0,0.0,Sunny
2025-01-01 17:00:00,2025-01-01,17,22.9,58,21.2,10.0,0.0,Sunny
2025-01-01 18:00:00,2025-01-01,18,22.9,50,21.1,10.0,0.0,Partly Cloudy
2025-01-01 19:00:00,2025-01-01,19,20.6,55,10.2,10.0,0.0,Clear
2025-01-01 20:00:00,2025-01-01,20,19.9,55,13.2,10.0,0.0,Clear
2025-01-01 21:00:00,2025-01-01,21,18.5,49,6.6,10.0,0.0,Clear
2025-01-01 22:00:00,2025-01-01,22,16.3,47,4.9,10.0,0.0,Clear
2025-01-01 23:00:00,2025-01-01,23,16.3,45,4.3,10.0,0.0,Clear
2025-01-02 00:00:00,2025-01-02,0,15.0,48,2.0,10.0,0.0,Clear
