datetime,date,hour,junction_id,control_type,active_program,cycle_length_s,approach_demand_vph,degree_of_saturation,avg_delay_s_per_veh,avg_queue_veh,throughput_vph,phase_failures,pedestrian_calls,adaptive_active
2024-01-01 00:00:00,2024-01-01,0,JCT_DEF,SCOOT-adaptive,Early Morning,70,71,0.039,11.0,0,71,0,10,1
2024-01-01 01:00:00,2024-01-01,1,JCT_DEF,SCOOT-adaptive,Early Morning,70,41,0.023,10.7,0,41,0,8,1
2024-01-01 02:00:00,2024-01-01,2,JCT_DEF,SCOOT-adaptive,Early Morning,70,29,0.016,14.9,0,29,0,12,1
2024-01-01 03:00:00,2024-01-01,3,JCT_DEF,SCOOT-adaptive,Early Morning,70,30,0.016,15.5,0,30,0,17,1
2024-01-01 04:00:00,2024-01-01,4,JCT_DEF,SCOOT-adaptive,Early Morning,70,53,0.03,16.9,0,53,0,3,1
2024-01-01 05:00:00,2024-01-01,5,JCT_DEF,SCOOT-adaptive,Early Morning,70,111,0.062,16.7,0,111,0,7,1
2024-01-01 06:00:00,2024-01-01,6,JCT_DEF,SCOOT-adaptive,AM Peak,140,404,0.202,26.8,1,404,0,13,1
2024-01-01 07:00:00,2024-01-01,7,JCT_DEF,SCOOT-adaptive,AM Peak,140,829,0.415,31.1,1,829,0,13,1
2024-01-01 08:00:00,2024-01-01,8,JCT_DEF,SCOOT-adaptive,AM Peak,140,1019,0.51,34.1,2,1019,0,10,1
2024-01-01 09:00:00,2024-01-01,9,JCT_DEF,SCOOT-adaptive,AM Peak,140,742,0.371,23.0,1,742,0,6,1
2024-01-01 10:00:00,2024-01-01,10,JCT_DEF,SCOOT-adaptive,Midday,100,424,0.236,17.4,1,424,0,20,1
2024-01-01 11:00:00,2024-01-01,11,JCT_DEF,SCOOT-adaptive,Midday,100,465,0.259,17.3,1,465,0,11,1
2024-01-01 12:00:00,2024-01-01,12,JCT_DEF,SCOOT-adaptive,Midday,100,465,0.258,16.4,1,465,0,28,1
2024-01-01 13:00:00,2024-01-01,13,JCT_DEF,SCOOT-adaptive,Midday,100,464,0.258,16.7,1,464,0,28,1
2024-01-01 14:00:00,2024-01-01,14,JCT_DEF,SCOOT-adaptive,Midday,100,449,0.25,15.4,1,449,0,1,1
2024-01-01 15:00:00,2024-01-01,15,JCT_DEF,SCOOT-adaptive,Midday,100,452,0.251,16.6,1,452,0,8,1
2024-01-01 16:00:00,2024-01-01,16,JCT_DEF,SCOOT-adaptive,PM Peak,150,669,0.335,23.5,1,669,0,8,1
2024-01-01 17:00:00,2024-01-01,17,JCT_DEF,SCOOT-adaptive,PM Peak,150,524,0.262,20.5,1,524,0,21,1
2024-01-01 18:00:00,2024-01-01,18,JCT_DEF,SCOOT-adaptive,PM Peak,150,655,0.328,22.1,1,655,0,21,1
2024-01-01 19:00:00,2024-01-01,19,JCT_DEF,SCOOT-adaptive,PM Peak,150,533,0.266,20.8,1,533,0,5,1
2024-01-01 20:00:00,2024-01-01,20,JCT_DEF,SCOOT-adaptive,Evening,90,498,0.277,16.6,1,498,0,13,1
2024-01-01 21:00:00,2024-01-01,21,JCT_DEF,SCOOT-adaptive,Evening,90,386,0.214,15.1,0,386,0,11,1
2024-01-01 22:00:00,2024-01-01,22,JCT_DEF,SCOOT-adaptive,Evening,90,258,0.144,15.3,0,258,0,5,1
2024-01-01 23:00:00,2024-01-01,23,JCT_DEF,SCOOT-adaptive,Evening,90,135,0.075,14.2,0,135,0,4,1
2024-01-02 00:00:00,2024-01-02,0,JCT_DEF,SCOOT-adaptive,Early Morning,70,109,0.06,10.5,0,109,0,17,1
2024-01-02 01:00:00,2024-01-02,1,JCT_DEF,SCOOT-adaptive,Early Morning,70,78,0.043,11.0,0,78,0,11,1
2024-01-02 02:00:00,2024-01-02,2,JCT_DEF,SCOOT-adaptive,Early Morning,70,51,0.029,10.7,0,51,0,9,1
2024-01-02 03:00:00,2024-01-02,3,JCT_DEF,SCOOT-adaptive,Early Morning,70,47,0.026,10.8,0,47,0,9,1
2024-01-02 04:00:00,2024-01-02,4,JCT_DEF,SCOOT-adaptive,Early Morning,70,101,0.056,11.3,0,101,0,5,1
2024-01-02 05:00:00,2024-01-02,5,JCT_DEF,SCOOT-adaptive,Early Morning,70,233,0.129,11.0,0,233,0,3,1
2024-01-02 06:00:00,2024-01-02,6,JCT_DEF,SCOOT-adaptive,AM Peak,140,867,0.433,23.6,1,867,0,15,1
2024-01-02 07:00:00,2024-01-02,7,JCT_DEF,SCOOT-adaptive,AM Peak,140,1645,0.822,41.0,3,1645,0,0,1
2024-01-02 08:00:00,2024-01-02,8,JCT_DEF,SCOOT-adaptive,AM Peak,140,1828,0.914,46.9,3,1800,0,7,1
2024-01-02 09:00:00,2024-01-02,9,JCT_DEF,SCOOT-adaptive,AM Peak,140,1421,0.711,31.3,2,1421,0,17,1
2024-01-02 10:00:00,2024-01-02,10,JCT_DEF,SCOOT-adaptive,Midday,100,894,0.496,20.3,1,894,0,21,1
2024-01-02 11:00:00,2024-01-02,11,JCT_DEF,SCOOT-adaptive,Midday,100,933,0.518,19.9,1,933,0,8,1
2024-01-02 12:00:00,2024-01-02,12,JCT_DEF,SCOOT-adaptive,Midday,100,887,0.493,18.7,1,887,0,23,1
2024-01-02 13:00:00,2024-01-02,13,JCT_DEF,SCOOT-adaptive,Midday,100,1055,0.586,19.2,1,1055,0,23,1
