datetime,date,hour,temp_c,humidity_pct,wind_kph,visibility_km,precip_mm,condition
2023-01-01 00:00:00,2023-01-01,0,14.8,58,16.0,10.0,0.0,Clear
2023-01-01 01:00:00,2023-01-01,1,12.1,56,13.5,10.0,0.0,Clear
2023-01-01 02:00:00,2023-01-01,2,13.6,65,12.9,10.0,0.0,Clear
2023-01-01 03:00:00,2023-01-01,3,13.6,62,4.7,10.0,0.0,Clear
2023-01-01 04:00:00,2023-01-01,4,10.4,75,9.7,10.0,0.0,Clear
2023-01-01 05:00:00,2023-01-01,5,11.8,75,6.5,10.0,0.0,Clear
2023-01-01 06:00:00,2023-01-01,6,14.6,79,18.8,10.0,0.0,Clear
2023-01-01 07:00:00,2023-01-01,7,15.4,81,25.4,10.0,0.0,Partly Cloudy
2023-01-01 08:00:00,2023-01-01,8,17.3,80,3.4,10.0,0.0,Sunny
2023-01-01 09:00:00,2023-01-01,9,18.0,83,10.6,10.0,0.0,Sunny
2023-01-01 10:00:00,2023-01-01,10,21.7,81,6.3,10.0,0.0,Sunny
2023-01-01 11:00:00,2023-01-01,11,23.2,84,14.2,10.0,0.0,Partly Cloudy
2023-01-01 12:00:00,2023-01-01,12,23.7,77,41.3,10.0,0.0,Sunny
2023-01-01 13:00:00,2023-01-01,13,26.0,68,20.5,10.0,0.0,Partly Cloudy
2023-01-01 14:00:00,2023-01-01,14,25.8,63,15.1,10.0,0.0,Partly Cloudy
2023-01-01 15:00:00,2023-01-01,15,24.5,58,18.2,10.0,0.0,Sunny
2023-01-01 16:00:00,2023-01-01,16,25.7,63,27.5,10.0,0.0,Hazy
2023-01-01 17:00:00,2023-01-01,17,23.5,51,19.3,10.0,0.0,Sunny
2023-01-01 18:00:00,2023-01-01,18,24.7,53,4.0,10.0,0.0,Sunny
2023-01-01 19:00:00,2023-01-01,19,22.2,50,32.2,10.0,0.0,Clear
2023-01-01 20:00:00,2023-01-01,20,20.5,47,11.4,10.0,0.0,Clear
2023-01-01 21:00:00,2023-01-01,21,18.2,49,13.8,10.0,0.0,Clear
2023-01-01 22:00:00,2023-01-01,22,18.8,48,23.9,10.0,0.0,Clear
2023-01-01 23:00:00,2023-01-01,23,15.6,39,40.0,10.0,0.0,Clear
2023-01-02 00:00:00,2023-01-02,0,13.9,51,7.5,10.0,0.0,Clear
2023-01-02 01:00:00,2023-01-02,1,12.9,58,23.1,10.0,0.0,Clear
2023-01-02 02:00:00,2023-01-02,2,13.4,67,7.2,10.0,0.0,Clear
2023-01-02 03:00:00,2023-01-02,3,12.9,72,13.0,0.8,0.0,Fog
2023-01-02 04:00:00,2023-01-02,4,13.2,64,2.9,1.0,0.0,Fog
2023-01-02 05:00:00,2023-01-02,5,13.9,73,7.2,0.3,0.0,Fog
2023-01-02 06:00:00,2023-01-02,6,17.0,71,12.5,0.3,0.0,Fog
2023-01-02 07:00:00,2023-01-02,7,15.3,87,15.7,0.9,0.0,Fog
2023-01-02 08:00:00,2023-01-02,8,16.7,86,15.1,1.0,0.0,Fog
2023-01-02 09:00:00,2023-01-02,9,18.0,84,21.1,10.0,0.0,Sunny
2023-01-02 10:00:00,2023-01-02,10,21.4,83,8.1,10.0,0.0,Sunny
2023-01-02 11:00:00,2023-01-02,11,23.6,86,10.0,10.0,0.0,Sunny
