datetime,date,hour,location_id,road_code,direction,volume_vph,demand_vph,avg_speed_kph,free_flow_speed_kph,vc_ratio,occupancy_pct,travel_time_index,level_of_service,incident_affected
2025-01-01 00:00:00,2025-01-01,0,SZR_N1,E11,NB (to Deira),539,539,105.0,105,0.045,3.5,1.0,A,0
2025-01-01 01:00:00,2025-01-01,1,SZR_N1,E11,NB (to Deira),361,361,100.3,105,0.03,1.2,1.05,A,0
2025-01-01 02:00:00,2025-01-01,2,SZR_N1,E11,NB (to Deira),248,248,102.5,105,0.021,5.2,1.02,A,0
2025-01-01 03:00:00,2025-01-01,3,SZR_N1,E11,NB (to Deira),251,251,83.1,105,0.021,1.4,1.26,A,0
2025-01-01 04:00:00,2025-01-01,4,SZR_N1,E11,NB (to Deira),426,426,81.6,105,0.036,5.3,1.29,A,0
2025-01-01 05:00:00,2025-01-01,5,SZR_N1,E11,NB (to Deira),1014,1014,71.5,105,0.085,4.5,1.47,A,0
2025-01-01 06:00:00,2025-01-01,6,SZR_N1,E11,NB (to Deira),3523,3523,78.8,105,0.294,19.2,1.33,A,0
2025-01-01 07:00:00,2025-01-01,7,SZR_N1,E11,NB (to Deira),7139,7515,56.8,105,0.626,48.0,1.85,C,1
2025-01-01 08:00:00,2025-01-01,8,SZR_N1,E11,NB (to Deira),8361,8361,67.1,105,0.697,52.0,1.56,C,0
2025-01-01 09:00:00,2025-01-01,9,SZR_N1,E11,NB (to Deira),6638,6638,101.5,105,0.553,43.9,1.03,C,0
2025-01-01 10:00:00,2025-01-01,10,SZR_N1,E11,NB (to Deira),4188,4188,105.0,105,0.349,27.3,1.0,A,0
2025-01-01 11:00:00,2025-01-01,11,SZR_N1,E11,NB (to Deira),4005,4005,102.7,105,0.334,29.1,1.02,A,0
2025-01-01 12:00:00,2025-01-01,12,SZR_N1,E11,NB (to Deira),4615,4615,105.0,105,0.385,27.1,1.0,B,0
2025-01-01 13:00:00,2025-01-01,13,SZR_N1,E11,NB (to Deira),4720,4720,105.0,105,0.393,32.9,1.0,B,0
2025-01-01 14:00:00,2025-01-01,14,SZR_N1,E11,NB (to Deira),4492,4492,100.0,105,0.374,31.5,1.05,B,0
2025-01-01 15:00:00,2025-01-01,15,SZR_N1,E11,NB (to Deira),4646,4646,99.6,105,0.387,31.3,1.05,B,0
2025-01-01 16:00:00,2025-01-01,16,SZR_N1,E11,NB (to Deira),5402,5402,100.7,105,0.45,36.5,1.04,B,0
