datetime,date,hour,location_id,road_code,direction,volume_vph,demand_vph,avg_speed_kph,free_flow_speed_kph,vc_ratio,occupancy_pct,travel_time_index,level_of_service,incident_affected
2023-01-01 00:00:00,2023-01-01,0,SZR_N1,E11,NB (to Deira),995,995,105.0,105,0.083,5.7,1.0,A,0
2023-01-01 01:00:00,2023-01-01,1,SZR_N1,E11,NB (to Deira),680,680,104.9,105,0.057,4.0,1.0,A,0
2023-01-01 02:00:00,2023-01-01,2,SZR_N1,E11,NB (to Deira),435,435,101.8,105,0.036,1.9,1.03,A,0
2023-01-01 03:00:00,2023-01-01,3,SZR_N1,E11,NB (to Deira),300,300,105.0,105,0.025,4.2,1.0,A,0
2023-01-01 04:00:00,2023-01-01,4,SZR_N1,E11,NB (to Deira),236,236,105.0,105,0.02,4.0,1.0,A,0
2023-01-01 05:00:00,2023-01-01,5,SZR_N1,E11,NB (to Deira),312,312,102.1,105,0.026,2.2,1.03,A,0
2023-01-01 06:00:00,2023-01-01,6,SZR_N1,E11,NB (to Deira),467,467,105.0,105,0.039,3.6,1.0,A,0
2023-01-01 07:00:00,2023-01-01,7,SZR_N1,E11,NB (to Deira),809,809,104.6,105,0.067,8.5,1.0,A,0
2023-01-01 08:00:00,2023-01-01,8,SZR_N1,E11,NB (to Deira),1390,1390,105.0,105,0.116,10.4,1.0,A,0
2023-01-01 09:00:00,2023-01-01,9,SZR_N1,E11,NB (to Deira),2092,2092,105.0,105,0.174,12.1,1.0,A,0
2023-01-01 10:00:00,2023-01-01,10,SZR_N1,E11,NB (to Deira),2851,2851,102.7,105,0.238,17.2,1.02,A,0
2023-01-01 11:00:00,2023-01-01,11,SZR_N1,E11,NB (to Deira),3742,3742,105.0,105,0.312,24.9,1.0,A,0
2023-01-01 12:00:00,2023-01-01,12,SZR_N1,E11,NB (to Deira),4157,4157,105.0,105,0.346,29.9,1.0,A,0
2023-01-01 13:00:00,2023-01-01,13,SZR_N1,E11,NB (to Deira),4223,4223,105.0,105,0.352,28.6,1.0,B,0
2023-01-01 14:00:00,2023-01-01,14,SZR_N1,E11,NB (to Deira),3698,3698,104.4,105,0.308,23.0,1.01,A,0
2023-01-01 15:00:00,2023-01-01,15,SZR_N1,E11,NB (to Deira),3821,3821,104.5,105,0.318,27.3,1.0,A,0
2023-01-01 16:00:00,2023-01-01,16,SZR_N1,E11,NB (to Deira),4200,4200,105.0,105,0.35,26.4,1.0,B,0
2023-01-01 17:00:00,2023-01-01,17,SZR_N1,E11,NB (to Deira),4643,4643,105.0,105,0.387,30.2,1.0,B,0
2023-01-01 18:00:00,2023-01-01,18,SZR_N1,E11,NB (to Deira),5273,5273,99.3,105,0.439,39.2,1.06,B,0
2023-01-01 19:00:00,2023-01-01,19,SZR_N1,E11,NB (to Deira),5553,5553,103.6,105,0.463,35.2,1.01,B,0
2023-01-01 20:00:00,2023-01-01,20,SZR_N1,E11,NB (to Deira),4933,4933,102.4,105,0.411,32.4,1.03,B,0
2023-01-01 21:00:00,2023-01-01,21,SZR_N1,E11,NB (to Deira),4206,4206,100.1,105,0.35,28.1,1.05,B,0
2023-01-01 22:00:00,2023-01-01,22,SZR_N1,E11,NB (to Deira),3224,3224,105.0,105,0.269,18.6,1.0,A,0
